,Class 0,Class 1,Class 2,Class 3,Class 4,Overall Accuracy,G-mean,Avg_Pfm,Training Time
LR,0.522484102149995,0.4013279953129577,0.22356061443253397,0.3672955974842767,0.56047197640118,0.4939517402564588,0.3952824123012266,0.4446170762788427,16.177
DT,0.4528805390128192,0.4155844155844156,0.22676538844071167,0.11823899371069183,0.2448377581120944,0.43491672456993663,0.26204251551454344,0.34847962004224003,7.807
RF,0.59387301907742,0.38550922761449075,0.07790916123328545,0.3320754716981132,0.584070796460177,0.544622365401217,0.32196142309590825,0.4332918942485626,19.357
MLP accuracy,0.5575098415261937,0.37056928034371645,0.19040777986517848,0.37610062893081764,0.5250737463126843,0.5182921693723286,0.37850027647620976,0.44839622292426917,553.118
MLP cohen_kappa,0.4898051882507318,0.48603651987110635,0.15095590673002543,0.3264150943396226,0.5663716814159292,0.4720274566778262,0.3668451922731254,0.4194363244754758,266.339
MLP f1_micro,0.5023152821237509,0.4918953227223904,0.14697756658194275,0.28176100628930817,0.6135693215339233,0.48261849114606364,0.36271785345022095,0.4226681722981423,216.751
MLP 1H auc,0.5181311194105178,0.4834977053022166,0.10896231627804177,0.38113207547169814,0.5752212389380531,0.49386225338470935,0.359256113108367,0.4265591832465382,274.762
MLP 1H accuracy,0.6246845664681538,0.22009569377990432,0.2614653552878771,0.36855345911949683,0.5398230088495575,0.5614669530246562,0.37229540106273135,0.4668811770436938,318.777
MLP 1H precision,0.5566960230140305,0.411825017088175,0.15869156812907503,0.3522012578616352,0.5663716814159292,0.5204240624934201,0.37338376084807984,0.44690391167074994,232.904
MLP 1H recall,0.5598882103563138,0.2696025778732546,0.2967178693778318,0.3383647798742138,0.5958702064896755,0.5142652601436001,0.39006876697467185,0.45216701355913597,292.983
