,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time
MLP-W-1,0.6338699909155143,0.08085147934771995,0.10619958006409548,0.20314465408805032,0.7876106194690266,0.5457804308003285,0.6313878270656975,0.2443349449884244,0.47383440095148344,6.282
MLP-W-2,0.5475421419198546,0.403232106239625,0.10818875013813681,0.31257861635220124,0.7345132743362832,0.5094224412018613,0.7024900007696226,0.3530390407008936,0.5216504942241259,10.828
MLP-W-3,0.6161678611083072,0.21618982521238161,0.21239916012819096,0.011949685534591196,0.8023598820058997,0.5490861811214284,0.6524086026172761,0.19350070604525588,0.4649984965946534,6.165
MLP-accuracy-1,0.5271209750681336,0.330924714383361,0.22687589788926954,0.3484276729559748,0.7020648967551623,0.49048280799275684,0.7086123457123022,0.3955337549386004,0.5315429695478865,301.527
MLP-accuracy-2,0.5333981023518725,0.3821404159750024,0.1665377389766825,0.3691823899371069,0.696165191740413,0.49853136251658137,0.7140789425111503,0.3873897065982891,0.5333333372086736,301.527
MLP-accuracy-3,0.563742808115474,0.3875598086124402,0.12133937451652116,0.3767295597484277,0.6932153392330384,0.5223401343355863,0.7163887429148674,0.3698825748904565,0.5362038173803034,301.527
MLP-accuracy-4,0.5369057232260018,0.3983985938873157,0.12819096032710797,0.28238993710691823,0.7551622418879056,0.5007632703766871,0.7074982606090326,0.35759591009956376,0.5219524803617611,301.527
MLP-accuracy-5,0.5580271525184213,0.28459134850112294,0.23958448447342248,0.35471698113207545,0.7109144542772862,0.5119491293453772,0.7126485589780002,0.39482714886343273,0.53980827906227,301.527
MLP-accuracy-1,0.5141188048854345,0.42178498193535785,0.15338711459829815,0.40817610062893084,0.6342182890855457,0.4863085086223233,0.7188947830803902,0.3863722817841314,0.5305251911622816,796.436
MLP-accuracy-2,0.4968456646815383,0.39332096474953615,0.21648800972483148,0.39245283018867927,0.616519174041298,0.4716695091908281,0.7140473860717079,0.3999698915744532,0.5285622622789964,796.436
MLP-accuracy-3,0.5412208539416574,0.44165608827262964,0.11702950602276495,0.379874213836478,0.6371681415929203,0.5091013412502895,0.7151668331170224,0.36823884235813753,0.5308356722418165,796.436
MLP-accuracy-4,0.5057724336327849,0.38043159847671126,0.1880870814454636,0.40440251572327046,0.640117994100295,0.4765175920661992,0.7078825208083784,0.3929460412249303,0.5257820513665027,796.436
MLP-accuracy-5,0.5647521954173816,0.3507469973635387,0.1759310421040999,0.2792452830188679,0.7404129793510325,0.5210820541974607,0.7145179694722158,0.3728471663585075,0.536149063342728,796.436
MLP-accuracy-1,0.5141188048854345,0.42178498193535785,0.15338711459829815,0.40817610062893084,0.6342182890855457,0.4863085086223233,0.7188947830803902,0.3863722817841314,0.5305251911622816,796.436
MLP-accuracy-2,0.4968456646815383,0.39332096474953615,0.21648800972483148,0.39245283018867927,0.616519174041298,0.4716695091908281,0.7140473860717079,0.3999698915744532,0.5285622622789964,796.436
MLP-accuracy-3,0.5412208539416574,0.44165608827262964,0.11702950602276495,0.379874213836478,0.6371681415929203,0.5091013412502895,0.7151668331170224,0.36823884235813753,0.5308356722418165,796.436
MLP-accuracy-4,0.5057724336327849,0.38043159847671126,0.1880870814454636,0.40440251572327046,0.640117994100295,0.4765175920661992,0.7078825208083784,0.3929460412249303,0.5257820513665027,796.436
MLP-accuracy-5,0.5647521954173816,0.3507469973635387,0.1759310421040999,0.2792452830188679,0.7404129793510325,0.5210820541974607,0.7145179694722158,0.3728471663585075,0.536149063342728,796.436
accuracy-refit-21,0.5591500958917937,0.3660775314910653,0.16664824842524037,0.4119496855345912,0.6076696165191741,0.5184921988503569,0.717937162964809,0.38572943917721525,0.5407196003307938,73.087
accuracy-refit-11,0.5494599777934793,0.338199394590372,0.2186981986959885,0.40440251572327046,0.6076696165191741,0.5098172362242857,0.716918859328366,0.39800368525092467,0.5415799269345255,73.087
accuracy-refit-97,0.5441480771171898,0.35499462943071963,0.2022322908608686,0.3987421383647799,0.5929203539823009,0.506337776093319,0.7158217324797768,0.3918280972343011,0.5379958686024656,73.087
accuracy-refit-17,0.5395805995760573,0.4183185235816815,0.14056801856558737,0.4188679245283019,0.6017699115044248,0.5066009727749352,0.7156455114773307,0.3807075625406266,0.5343180155976309,73.087
accuracy-refit-64,0.5725686383365297,0.2724343325847085,0.26312299701624486,0.39748427672955977,0.5958702064896755,0.5240456488324595,0.7167584435075742,0.39586213735900383,0.5455554098996792,73.087
