,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time,Res_time
MLP-ROS-roc_auc,0.5142386696275361,0.47646714188067574,0.11647695877997569,0.34591194968553457,0.6371681415929203,0.4900301097003769,0.6878486772066229,0.36285362462548654,0.5135774705108288,1464.028,0.5745601654052734
MLP-ROS-pr_auc,0.47119460987180783,0.4858412264427302,0.16465907835119903,0.2672955974842767,0.6873156342182891,0.4568515360158339,0.689301251561072,0.3699011464935462,0.5053513113568174,1270.911,0.5745601654052734
MLP-ROS-RUS-roc_auc,0.5107941354597759,0.380041011619959,0.23262238921427783,0.3,0.6873156342182891,0.4819973469774493,0.7004745292225094,0.3924651256223993,0.5249790006074527,568.9,66.32789158821106
MLP-ROS-RUS-pr_auc,0.506346522660745,0.4384337467044234,0.1207868272737319,0.30754716981132074,0.7345132743362832,0.4794022276967132,0.6816010160392489,0.36012772111688146,0.5070436549509478,225.046,66.32789158821106
MLP-SMOTE-RUS-roc_auc,0.5496997072776825,0.3457181915828532,0.1883081003425793,0.31383647798742137,0.7138643067846607,0.5088118249005117,0.7082445645451896,0.3808966612910934,0.5326510169122649,220.972,66.47802186012268
MLP-SMOTE-RUS-pr_auc,0.49936913293630764,0.4868665169417049,0.0976903525251409,0.259748427672956,0.7669616519174042,0.4773598214473712,0.6811838511132595,0.3427693423416729,0.5004376716341011,225.945,66.47802186012268
MLP-RUS2ROS-roc_auc,0.546520137276673,0.4131432477297139,0.10840976903525251,0.3333333333333333,0.7256637168141593,0.509806708357021,0.7095142506130795,0.35849068895287556,0.5259372159743253,255.326,66.10467505455017
MLP-RUS2ROS-pr_auc,0.5160681841122439,0.3327311785958402,0.2049950270748149,0.2968553459119497,0.7286135693215339,0.4800286357989598,0.6792849111951634,0.37697904315229264,0.5120975300488053,488.011,66.10467505455017
MLP-RUS2SMOTE-roc_auc,0.5621025537498738,0.3666634117761937,0.1631119460713891,0.3371069182389937,0.672566371681416,0.5203398395553029,0.709525627045896,0.377063368867211,0.5356429451561365,645.297,66.0496609210968
MLP-RUS2SMOTE-pr_auc,0.5570808519228828,0.3933697881066302,0.12454414852469886,0.30943396226415093,0.6991150442477876,0.5170077695660413,0.6834727097883698,0.35828764908774147,0.5195893761473842,206.532,66.0496609210968
MLP-NearMiss2ROS-roc_auc,0.2632482083375391,0.42896201542818085,0.17604155155265774,0.20440251572327045,0.7463126843657817,0.2773303434190302,0.6033106503346037,0.3135893476608736,0.39807678047150247,203.272,116.00279021263123
MLP-NearMiss2ROS-pr_auc,0.25898985565761584,0.4398496240601504,0.1637750027627362,0.27169811320754716,0.6932153392330384,0.2748352388773082,0.5919081694694224,0.32296679677162915,0.3965700683727866,205.749,116.00279021263123
MLP-NearMiss2SMOTE-roc_auc,0.25608155849399417,0.4676789376037496,0.16918996574207096,0.21509433962264152,0.7404129793510325,0.2752774093024235,0.5975487012149499,0.31751243941913715,0.3967795166455035,201.164,116.44878005981445
MLP-NearMiss2SMOTE-pr_auc,0.25251715958413246,0.5475051264524948,0.07879323682174826,0.2943396226415094,0.6607669616519174,0.27712505000736953,0.6115169904650665,0.29188583210590047,0.39350929085944547,244.379,116.44878005981445
