,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time
MLP-W-1,0.5288684768345614,0.42769260814373594,0.06276936678085976,0.24779874213836478,0.7522123893805309,0.49380435011475377,0.6644430321862358,0.30516403639444534,0.4878038062318117,7.201
MLP-W-2,0.5257393761986474,0.39517625231910947,0.10376837219582274,0.26666666666666666,0.7463126843657817,0.48978796875328995,0.681154733724642,0.33612683070571897,0.502356511061217,7.642
MLP-W-3,0.6759677500757041,0.045259252026169317,0.17670460824400486,0.1792452830188679,0.7433628318584071,0.5801486534857768,0.6164374723650695,0.23523717786545534,0.47727443457210056,6.042
Best models-accuracy-1,0.5445644493792268,0.307831266477883,0.26345452536191843,0.3433962264150943,0.6312684365781711,0.5041216600341103,0.7084747670817765,0.39465304162880804,0.5357498229148983,228.778
Best models-accuracy-2,0.5931096699303523,0.24646030661068255,0.2530666371974804,0.2962264150943396,0.7345132743362832,0.5373054976522856,0.7080966501650845,0.3811957614193228,0.5421993030788977,228.778
Best models-accuracy-3,0.4856477743009993,0.49668001171760573,0.12841197922422368,0.38930817610062896,0.6253687315634219,0.4692638915208557,0.7121409510774341,0.3762587969410051,0.519221213179765,228.778
Best models-accuracy-4,0.5666889573029171,0.34122644273020214,0.19725936567576527,0.37358490566037733,0.6548672566371682,0.523324489924831,0.7149449279666837,0.39263908732350156,0.5436361684050054,228.778
Best models-accuracy-5,0.519935399212678,0.309295967190704,0.23958448447342248,0.30943396226415093,0.7138643067846607,0.4824553092034616,0.7055231535303452,0.3854723185371921,0.5244835937569996,228.778
accuracy-refit-21,0.5657805087312001,0.2942095498486476,0.24787269311526136,0.36792452830188677,0.6253687315634219,0.5198081822584381,0.709097795012432,0.39399042498671044,0.5409654674191935,228.778
accuracy-refit-11,0.5507469466034117,0.3855580509715848,0.16775334291081886,0.3452830188679245,0.6342182890855457,0.5131229865453857,0.7079269496158415,0.37881346517586745,0.5332878004456981,228.778
accuracy-refit-97,0.5298147774301,0.31881652182404063,0.22731793568350095,0.4025157232704403,0.6106194690265486,0.49173562419725014,0.7074394717310662,0.39352326917093894,0.5308994550330851,228.778
accuracy-refit-17,0.5474348945190269,0.34024997558832143,0.20808929163443474,0.3805031446540881,0.6076696165191741,0.5076432316341356,0.7067002812389971,0.3894764624634743,0.5346066584455357,228.778
accuracy-refit-64,0.5593645906934491,0.38824333561175667,0.15316609570118245,0.34591194968553457,0.6194690265486725,0.5198871412629229,0.7074375723518254,0.3720397611166163,0.5331214915771215,228.778
accuracy-refit-25,0.5442048551529222,0.3023630504833512,0.25384020333738533,0.36981132075471695,0.6047197640117994,0.5029478028341019,0.7081133619912465,0.39271472024539283,0.5345919616902471,228.778
accuracy-refit-54,0.5223390027253457,0.42071086807928915,0.1541606807382031,0.38742138364779877,0.5988200589970502,0.49285157812730296,0.7064491983036068,0.37938307014713557,0.5262279488593484,228.778
accuracy-refit-98,0.5295750479458968,0.4287667219998047,0.1464250193391535,0.35786163522012576,0.6194690265486725,0.49917882635335736,0.7041398562056259,0.37454130794677765,0.5259533301685869,228.778
accuracy-refit-42,0.5574278288079136,0.336685870520457,0.1928389877334512,0.3779874213836478,0.6283185840707964,0.5148864043122144,0.7015588093490932,0.3862363343624375,0.5342271826745817,228.778
accuracy-refit-48,0.5802589078429393,0.2622302509520555,0.2550558072715217,0.38742138364779877,0.5811209439528023,0.528867412039669,0.7030840995070248,0.38750560421701696,0.5398190385879036,228.778
accuracy-refit-ensemble,0.5802589078429393,0.2622302509520555,0.2550558072715217,0.38742138364779877,0.5811209439528023,0.528867412039669,0.7030840996760694,0.38750560421701696,0.5398190386442518,228.778
