index,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,OP score,Training Time,Model,Embedding
LR-None,0.5254239426668013,0.42945024899912115,0.15406719717064546,0.3119496855345912,0.611764705882353,0.4957572694923462,0.7154817094284089,0.3667417676955702,0.5259935822054418,13.759,LR,None
DT-None,0.8297163621681639,0.1454936041402207,0.08930150309460655,0.031446540880503145,0.15294117647058825,0.7127892531530963,0.5316425851537259,0.13897795804666077,0.46113659878449437,8.597,DT,None
RF-None,0.5757292823256284,0.4258373205741627,0.008399646330680813,0.28176100628930817,0.6941176470588235,0.5302992019876613,0.6623220149613102,0.20941481527550693,0.46734534407482614,19.678,RF,None
MLP-None,0.6426516604421116,0.38492334732936234,0.007294429708222812,0.24654088050314465,0.7,0.5813909418230055,0.6793229465329215,0.19891413375652572,0.48654267403748425,2.69,MLP,None
LR-3,0.511115877662259,0.40542915730885654,0.13417329796640143,0.3169811320754717,0.6058823529411764,0.48031288821510537,0.6966358313120895,0.3511595083220668,0.5093694092830873,11.292,LR,3
DT-3,0.8321515090340164,0.14539595742603262,0.08465959328028294,0.033962264150943396,0.17058823529411765,0.7146421577916746,0.5337091530749355,0.14278261292199118,0.4637113079295338,4.079,DT,3
RF-3,0.6258958312304431,0.3421540865149888,0.024093722369584437,0.32955974842767294,0.6470588235294118,0.5641989345798328,0.6612812328913162,0.256036053063758,0.49383874017830237,16.274,RF,3
MLP-3,0.5497501766427778,0.40747973830680595,0.054376657824933686,0.2779874213836478,0.7235294117647059,0.5088539363695702,0.6858125383209224,0.3004920928191446,0.49838618916987903,4.233,MLP,3
LR-5,0.5282628444534168,0.4191973440093741,0.1359416445623342,0.33081761006289306,0.611764705882353,0.4963152464573727,0.7054147160583227,0.36054446190460676,0.520758141473434,11.721,LR,5
DT-5,0.834485717169678,0.14119714871594571,0.08311229000884174,0.045283018867924525,0.1411764705882353,0.7161055313414608,0.5313055342229729,0.14431835007894697,0.4639098052144602,6.009,DT,5
RF-5,0.6038533360250328,0.3585587344985841,0.016136162687886826,0.30062893081761005,0.6882352941176471,0.5470279830711894,0.6673521314533105,0.2354029768730064,0.4832610304658354,18.586,RF,5
MLP-5,0.5737483597456344,0.4039644565960355,0.012599469496021221,0.25660377358490566,0.7588235294117647,0.5263933632324763,0.670339427691226,0.22436966513230847,0.4737008186853369,3.957,MLP,5
LR-7,0.5225219541738165,0.410409139732448,0.14986737400530503,0.32075471698113206,0.6058823529411764,0.49114606363042973,0.7051445678908517,0.3623414382042717,0.519544023241851,12.49,LR,7
DT-7,0.8346749772887857,0.14178302900107412,0.07714412024756852,0.042767295597484274,0.17058823529411765,0.7160739477396669,0.5334199383680095,0.1461171080152917,0.465203664707656,8.392,DT,7
RF-7,0.6441026546886041,0.2881554535689874,0.034924845269672856,0.2893081761006289,0.6941176470588235,0.5738319331269871,0.6693288960180086,0.2647902827093567,0.5026503706181175,19.789,RF,7
MLP-7,0.603260320985162,0.30641538912215605,0.12157382847038019,0.2679245283018868,0.7,0.5456804160613143,0.6881446905773967,0.3349293359513649,0.5229181475300254,4.223,MLP,7
