,Class 0,Class 1,Class 2,Class 3,Class 4,Overall Accuracy,G-mean,Avg_Pfm,Training Time
LR,0.5307736953669123,0.41641441265501417,0.15018234059012045,0.3490566037735849,0.7109144542772862,0.49911565914976946,0.38296002529701073,0.4410378422233901,16.721
DT,0.4467800545069143,0.414754418513817,0.22698640733782738,0.11006289308176101,0.25958702064896755,0.4297054302739351,0.26059237830807885,0.345148904291007,8.218
RF,0.5120937216109821,0.47134068938580215,0.09072825726599625,0.2710691823899371,0.7079646017699115,0.48596108900258983,0.33473700685853425,0.41034904793056204,21.736
MLP accuracy,0.53055289189462,0.4325749438531393,0.11515084539728147,0.29559748427672955,0.7463126843657817,0.4986208493883309,0.35738452778254703,0.428002688585439,181.663
MLP cohen_kappa,0.49146436862824266,0.44356019919929696,0.1494087744502155,0.3352201257861635,0.7109144542772862,0.469090181710989,0.37843703206216855,0.42376360688657877,262.226
MLP f1_micro,0.5080561724033512,0.3491358265794356,0.211625593988286,0.31761006289308175,0.7138643067846607,0.4755753479460131,0.3854755635045744,0.43052545572529377,286.935
MLP 1H auc,0.5173236095689916,0.48076359730495066,0.09724831473090949,0.33584905660377357,0.7079646017699115,0.4921935864232624,0.356407083616512,0.4243003350198872,717.823
MLP 1H accuracy,0.5439083476329868,0.42437261986134167,0.14741960437617416,0.2968553459119497,0.7256637168141593,0.5103910049902091,0.3741292996112834,0.4422601523007462,377.803
MLP 1H precision,0.493495760573332,0.4312078898545064,0.18742402475411649,0.2830188679245283,0.7315634218289085,0.47086412734508243,0.38315328317811814,0.4270087052616003,213.513
MLP 1H recall,0.492921671545372,0.5120105458451323,0.09282793678859542,0.289937106918239,0.7374631268436578,0.4746594234939886,0.3467016636506046,0.4106805435722966,277.821
