,Class 0,Class 1,Class 2,Class 3,Class 4,Overall Accuracy,G-mean,Avg_Pfm,Training Time
LR,0.5149436164340352,0.4157207372146955,0.1458966565349544,0.3223270440251572,0.7205882352941176,0.485425522115043,0.3733516920629103,0.42938860708897664,7.376
DT,0.44449175932497437,0.4036372513120957,0.21912130422768722,0.11163522012578617,0.2426470588235294,0.42620642461408886,0.2543684036771696,0.34028741414562924,3.51
RF,0.5377967037299898,0.45319174905407056,0.07129041171594364,0.2641509433962264,0.7720588235294118,0.5045861901064628,0.3235092940777823,0.41404774209212253,10.585
MLP accuracy,0.5902531346108351,0.33077016965702427,0.0851063829787234,0.389937106918239,0.7352941176470589,0.5368013791469818,0.3432388874959928,0.44002013332148726,78.825
MLP cohen_kappa,0.5014746471098493,0.4114487977541804,0.13235700469743023,0.35377358490566035,0.7352941176470589,0.4733711458237376,0.3717916576120091,0.4225814017178734,92.245
MLP f1_micro,0.46045264569040295,0.5117783473697058,0.1157778391820945,0.3238993710691824,0.7132352941176471,0.44888075905723196,0.36300035532193997,0.405940557189586,151.464
MLP 1H auc,0.5167415818941724,0.31709996338337604,0.20254213871235147,0.3411949685534591,0.7573529411764706,0.4792140967771651,0.3860621150728815,0.4326381059250233,131.711
MLP 1H accuracy,0.5456667455248009,0.38313194190162336,0.13815971262779772,0.30974842767295596,0.7647058823529411,0.5071523509981708,0.3690049246557736,0.4380786378269722,76.263
MLP 1H precision,0.5423389322608627,0.32027340412547295,0.18154186239292622,0.29559748427672955,0.8235294117647058,0.4996512653147166,0.37759797657818217,0.4386246209464494,79.733
MLP 1H recall,0.5070893462660674,0.46515317954351276,0.13733075435203096,0.2468553459119497,0.7794117647058824,0.4832673150061193,0.3621859140097269,0.4227266145079231,262.674
