,index,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,OP score,Training Time,Res_time,Model,Sampler,Trial
0,MLP-Weight-0,0.5188503078631271,0.4186114637242457,0.14653552878771134,0.2943396226415094,0.7433628318584071,0.4888299328322068,0.718106115457684,0.3703131553996519,0.5257497345631809,23.894,,MLP,Weight,0
1,MLP-Weight-1,0.5155004037549208,0.42251733229176835,0.130401149298265,0.23647798742138365,0.775811209439528,0.4852609858294907,0.6800636580986029,0.34944621898754685,0.5049236209718801,12.901,,MLP,Weight,1
2,MLP-Weight-2,0.5599639144039568,0.36348989356508155,0.07536744391645486,0.20062893081761007,0.7551622418879056,0.5130387636072684,0.648581126387098,0.2973404529523918,0.486320114315586,10.626,,MLP,Weight,2
3,MLP-ROS-0,0.528004188957303,0.44473195976955376,0.11868714775113272,0.34088050314465407,0.6814159292035398,0.4982365822331712,0.707331757687115,0.36494781606838,0.5235053853295554,62.869,0.6079082489013672,MLP,ROS,0
4,MLP-ROS-1,0.5038482890885233,0.4460013670539986,0.12686484694441374,0.3238993710691824,0.7138643067846607,0.478523150780115,0.7129734690761149,0.3662693772799504,0.5192553323787267,40.01,0.6260154247283936,MLP,ROS,1
5,MLP-ROS-2,0.5181500454224286,0.42901083878527485,0.14498839650790143,0.3591194968553459,0.6519174041297935,0.48967216221337884,0.713201609214023,0.3763030360621284,0.5263922691631767,56.801,0.6176857948303223,MLP,ROS,2
6,MLP-ROS2RUS-0,0.5302563843746846,0.39976564788594865,0.12918554536412863,0.2779874213836478,0.7581120943952803,0.4953782662708189,0.681235369180569,0.35665866061114665,0.5110907653541782,7.481,0.5699996948242188,MLP,ROS2RUS,0
7,MLP-SMOTE2RUS-0,0.53096295548602,0.3488428864368714,0.11879765719969057,0.2270440251572327,0.7817109144542773,0.48959846714252625,0.6661894724202494,0.32986151139695513,0.4952164836532436,6.067,82.79949069023132,MLP,SMOTE2RUS,0
8,MLP-ROS2RUS-1,0.5886683658019582,0.24318914168538228,0.12620179025306663,0.30251572327044024,0.5339233038348082,0.5268987008611795,0.6389847049908627,0.311186999044607,0.4923568016322164,5.554,0.5582413673400879,MLP,ROS2RUS,1
9,MLP-SMOTE2RUS-1,0.5306853739779953,0.4325749438531393,0.10122665487899216,0.2710691823899371,0.7640117994100295,0.4978944265470701,0.6856923104816653,0.34393368677987984,0.5091734746028718,6.941,78.3952522277832,MLP,SMOTE2RUS,1
10,MLP-ROS2RUS-2,0.5281051276874937,0.37740455033688114,0.18852911923969498,0.2849056603773585,0.7197640117994101,0.49398858779188515,0.6914693442900953,0.3778848077682062,0.5211142466167289,10.193,0.5583276748657227,MLP,ROS2RUS,2
11,MLP-SMOTE2RUS-2,0.5141061875441607,0.4107020798750122,0.14775113272184773,0.2842767295597484,0.7492625368731564,0.48400290569136506,0.7044601756333216,0.3668573091183808,0.5184401301476892,11.641,79.35096478462219,MLP,SMOTE2RUS,2
12,MLP-RUS2ROS-0,0.5450691430301807,0.42573967385997463,0.04166206210631009,0.22138364779874214,0.7787610619469026,0.50593245320363,0.6638433948013958,0.27821289150566053,0.48266291317022875,6.034,0.2611360549926758,MLP,RUS2ROS,0
13,MLP-RUS2SMOTE-0,0.5333350156455032,0.42764378478664195,0.033484362913029066,0.2660377358490566,0.7551622418879056,0.49628892678921105,0.653158857425894,0.2736412480733387,0.47436301076281456,6.035,78.47683000564575,MLP,RUS2SMOTE,0
14,MLP-NearMiss2ROS-0,0.48693474311093166,0.11751782052533932,0.18278262791468672,0.2918238993710692,0.6873156342182891,0.4313425136335881,0.5939379027913164,0.2913112773189337,0.4388638979146127,5.685,41.494163513183594,MLP,NearMiss2ROS,0
15,MLP-NearMiss2SMOTE-0,0.4560790350257394,0.273166682941119,0.036910155818322465,0.34150943396226413,0.5693215339233039,0.41563493567473103,0.5868368152298472,0.24562626623510989,0.416032672379896,5.583,120.3889467716217,MLP,NearMiss2SMOTE,0
16,MLP-RUS2ROS-1,0.552860351266781,0.37838101747876185,0.07702508564482263,0.2761006289308176,0.7286135693215339,0.5093803297328028,0.6757586876850125,0.3177959259522694,0.5009783144566948,6.067,0.2922549247741699,MLP,RUS2ROS,1
