,Class 0,Class 1,Class 2,Class 3,Class 4,Overall Accuracy,G-mean,Avg_Pfm,Training Time,Resample time
LR-Weights,0.5144623537204681,0.4306640625,0.16077348066298341,0.3584905660377358,0.6617647058823529,0.48753783392551653,0.38492630954031554,0.436232071732916,5.019,
DT-Weights,0.8353152698482793,0.13818359375,0.08729281767955802,0.03773584905660377,0.19117647058823528,0.7166995657323332,0.1486944628247649,0.432697014278549,1.564,
RF-Weights,0.6281739898432325,0.367919921875,0.0066298342541436465,0.2861635220125786,0.6617647058823529,0.5677062771417292,0.1961240079400908,0.38191514254090997,4.073,
MLP-Weights,0.5183105699776046,0.416015625,0.10552486187845304,0.33962264150943394,0.6470588235294118,0.48635346756152126,0.346576394959431,0.4164649312604761,113.833,
LR-ROS,0.5161341197993881,0.4365234375,0.14972375690607734,0.3490566037735849,0.6470588235294118,0.4889327543097776,0.37703363483118885,0.43298319457048323,21.084,0.11452960968017578
LR-SMOTE,0.5151562943570009,0.41943359375,0.15082872928176796,0.36477987421383645,0.6029411764705882,0.48637978681405447,0.3724589559086417,0.4294193713613481,20.791,14.726980686187744
LR-BorderlineSMOTE,0.5720909693088982,0.420166015625,0.2276243093922652,0.29559748427672955,0.47058823529411764,0.5368074746677194,0.3769548114448822,0.4568811430563008,22.433,315.53936743736267
LR-RUS,0.4433649812320601,0.297607421875,0.26243093922651933,0.36163522012578614,0.6617647058823529,0.41873930780365837,0.38342365281530605,0.4010814803094822,0.095,0.03219294548034668
LR-NearMiss,0.012112418383118316,0.079345703125,0.08453038674033149,0.4119496855345912,0.8088235294117647,0.027582576654823002,0.12203741982988833,0.07480999824235567,0.094,2.0350558757781982
LR-ROS-RUS,0.513547613790493,0.432861328125,0.14972375690607734,0.36163522012578614,0.6323529411764706,0.48645874457165417,0.3769555105831682,0.43170712757741114,2.617,0.13352346420288086
LR-ROS-NearMiss,0.25382455918998204,0.370361328125,0.20718232044198895,0.3710691823899371,0.6470588235294118,0.2658507698381366,0.34196536617571105,0.3039080680069238,2.559,86.98382258415222
LR-SMOTE-RUS,0.5148724095511465,0.40234375,0.17790055248618786,0.36163522012578614,0.6323529411764706,0.4856165284905909,0.3847165662924737,0.43516654739153227,2.458,2.640244960784912
LR-SMOTE-NearMiss,0.24953474434596096,0.384033203125,0.19502762430939227,0.3710691823899371,0.6029411764705882,0.26308724832214764,0.33439914015797545,0.29874319424006157,2.44,89.48063969612122
LR-BorderlineSMOTE-RUS,0.5466675078068322,0.4111328125,0.2541436464088398,0.32075471698113206,0.47058823529411764,0.5160942229240689,0.3864735309162796,0.45128387692017424,2.609,150.43453931808472
LR-BorderlineSMOTE-NearMiss,0.2540453584834243,0.425048828125,0.2712707182320442,0.3270440251572327,0.4852941176470588,0.27432556915383605,0.34156459727474053,0.30794508321428826,2.461,237.53692722320557
LR-RUS-ROS,0.5128221303977542,0.431640625,0.1569060773480663,0.3522012578616352,0.6176470588235294,0.48595867877352283,0.37640208752405147,0.43118038314878715,2.58,0.04899859428405762
LR-RUS-SMOTE,0.5116235056619247,0.411865234375,0.1734806629834254,0.36163522012578614,0.6029411764705882,0.483668903803132,0.3804525263061235,0.43206071505462773,2.487,2.6180484294891357
LR-RUS-BorderlineSMOTE,0.535501372109895,0.40478515625,0.22486187845303868,0.39622641509433965,0.5,0.5053822871430451,0.39533283421993554,0.45035756068149035,2.594,24.60888361930847
LR-NearMiss-ROS,0.2735072390625493,0.4794921875,0.1878453038674033,0.3553459119496855,0.6323529411764706,0.2929595999473615,0.35369776367615596,0.3233286818117587,2.521,1.708848237991333
LR-NearMiss-SMOTE,0.26956439453679465,0.47900390625,0.1878453038674033,0.33962264150943394,0.6176470588235294,0.28945913936044215,0.34778255013688203,0.3186208447486621,2.497,4.265609502792358
LR-NearMiss-BorderlineSMOTE,0.2721509005456897,0.4765625,0.23314917127071824,0.36792452830188677,0.4852941176470588,0.2935123042505593,0.35193742912484893,0.3227248666877041,2.46,25.5154812335968
MLP-Weights,0.5542062265400751,0.39404296875,0.2160220994475138,0.3553459119496855,0.4852941176470588,0.5190419792077905,0.3820092712911661,0.45052562524947826,89.025,
MLP-RUS2BOR,0.5201400498375548,0.44677734375,0.1441988950276243,0.4025157232704403,0.4852941176470588,0.4932754309777602,0.36575666533953577,0.42951604815864797,40.729,
