,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time
MLP-W-1,0.5163457656202685,0.38399570354457574,0.1626699082771577,0.28679245283018867,0.7463126843657817,0.4837186532752195,0.6996865468477249,0.3696685888232211,0.5176912629820553,22.571
MLP-W-2,0.5203517714747149,0.4178302900107411,0.13051165874682286,0.2993710691823899,0.7227138643067846,0.48924051965552817,0.6983279597116058,0.3610975121992375,0.5162219971887905,37.05
MLP-W-3,0.52997880286666,0.41988087100869054,0.09967952259918222,0.30377358490566037,0.7463126843657817,0.49610468911207967,0.7050680010902197,0.346970277631413,0.5160476559445708,20.109
MLP-auc-1,0.836870394670435,0.06522800507762913,0.008619736987512432,0.4176100628930818,0.26843657817109146,0.7096993241109216,0.6700990258112745,0.13945683124219838,0.5064183937214649,698.019
MLP-auc-2,0.725383567174725,0.021189336978810664,0.0,0.3,0.0,0.6100530604510138,0.45550437782470166,0.021515986695254844,0.3623578083236567,698.019
MLP-auc-3,0.7735439588169981,0.07098916121472512,0.0013261133826942204,0.1490566037735849,0.008849557522123894,0.6544227570378792,0.513084465076717,0.03949172424992141,0.4023329821215058,698.019
MLP-auc-4,0.7114540224083981,0.01201054584513231,0.11658746822853354,0.0018867924528301887,0.3834808259587021,0.6011833322805467,0.5385276473195046,0.05909705622012587,0.3996026786067257,698.019
MLP-auc-5,0.7321906227919652,0.047261009667024706,0.1631119460713891,0.061635220125786164,0.8584070796460177,0.6258501252816204,0.6551801939051562,0.1972545519002818,0.49276162369568616,698.019
MLP-accuracy1h-1,0.5155887251438377,0.41983204765159654,0.14775113272184773,0.330188679245283,0.6902654867256637,0.4865032741667193,0.7073076555012097,0.37371250583536875,0.5225078118344325,640.476
MLP-accuracy1h-2,0.5241369738568689,0.37364515184064057,0.17029506022764945,0.34150943396226413,0.7345132743362832,0.4899037752932011,0.7114968964064021,0.3841507722928524,0.5285171479974852,640.476
MLP-accuracy1h-3,0.4960318461693752,0.4001562347427009,0.19825395071278595,0.3440251572327044,0.6991150442477876,0.4706009306634662,0.7091314536881075,0.39374945858098587,0.5244939476441864,640.476
MLP-accuracy1h-4,0.5677109619460987,0.34195879308661264,0.16344347441706267,0.32264150943396225,0.7433628318584071,0.5223769818710126,0.7157355179371578,0.37694496354794643,0.5383524877853724,640.476
MLP-accuracy1h-5,0.4684692641566569,0.4967288350746997,0.1344899988949055,0.32955974842767294,0.6843657817109144,0.4548301855010212,0.7155188280969861,0.3713150760163713,0.5138880298714595,640.476
MLP-precision-1,0.6448092257999395,0.3184259349672883,0.01900762515195049,0.0930817610062893,0.8377581120943953,0.5755374476238604,0.6816190892685495,0.1980022627591119,0.48505293321717385,620.293
MLP-precision-2,0.5187935298273948,0.3784786641929499,0.08133495413857884,0.32955974842767294,0.7463126843657817,0.4816499273577159,0.6850709289884854,0.330243009251362,0.49898795519918776,620.293
MLP-precision-3,0.5882583022105582,0.4270090811444195,0.019228644049066195,0.08930817610062892,0.8436578171091446,0.5400480070747268,0.6911706025537728,0.20521177567361887,0.47881012843403953,620.293
MLP-precision-4,0.3311295043908348,0.17864466360706963,0.1981434412642281,0.19056603773584907,0.5103244837758112,0.3074979470658834,0.5725465048948106,0.2578528330799356,0.37929909501354325,620.293
MLP-precision-5,0.5659129908145756,0.47060833902939164,0.006630566913471102,0.14339622641509434,0.7964601769911505,0.5258722338028762,0.6850890135696515,0.1823611601958829,0.4644408025228035,620.293
MLP-recall-1,0.5599639144039568,0.35284640171858217,0.16521162559398828,0.34276729559748426,0.7197640117994101,0.5172972859158191,0.7102037895833474,0.38123711014716855,0.5362460618821118,737.64
MLP-recall-2,0.5563932068234582,0.26301142466556,0.2812465465797326,0.3031446540880503,0.7109144542772862,0.5098119722906533,0.7080305721942681,0.38867103593862806,0.5355045268078499,737.64
MLP-recall-3,0.5624873826587261,0.28327311785958403,0.20687368770029838,0.31949685534591193,0.7433628318584071,0.5137336028467353,0.7106474591102885,0.37908636754698666,0.5344891431680034,737.64
MLP-recall-4,0.556576158271929,0.32291768381993946,0.19018676096806278,0.320125786163522,0.7433628318584071,0.512286021097846,0.7121492775531364,0.382000245528478,0.5354785147264868,737.64
MLP-recall-5,0.5595475421419198,0.3938091983204765,0.12056580837661621,0.30440251572327043,0.7433628318584071,0.5189606889436338,0.7181308843898389,0.3595830552235262,0.5322248761856663,737.64
