,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time
MLP-HS#1,0.5535858483900272,0.35523874621618984,0.14333075477953364,0.2358490566037736,0.7669616519174042,0.5103804771229444,0.6819837881681412,0.347928895032126,0.5134310534410705,23.261
MLP-HS#2,0.5268875542545675,0.39317449467825405,0.12366007293623604,0.28742138364779873,0.7551622418879056,0.4916671930600299,0.6886738649954512,0.3540123587379473,0.5114511389311428,37.616
MLP-HS#3,0.5214494801655395,0.39864271067278584,0.14543043430213284,0.30880503144654087,0.7433628318584071,0.48891415577032404,0.7045849979319947,0.370055885276897,0.5211850129930719,40.78
MLP-auc-1,0.6688200262440699,0.342447026657553,0.006630566913471102,0.006289308176100629,0.8466076696165191,0.596861642768408,0.6816713069940794,0.0958401932913889,0.45812438101795877,115.686
MLP-auc-2,0.6549661855253861,0.08827262962601308,0.15029285003867832,0.1289308176100629,0.8259587020648967,0.5657307392668394,0.634357327847819,0.2473202442056637,0.482469437106774,115.686
MLP-accuracy-1,0.5380034319168265,0.34903817986524754,0.19770140346999668,0.3251572327044025,0.7197640117994101,0.49996315246457373,0.7079557154527861,0.3870706627776256,0.5316631768983284,118.248
MLP-accuracy-2,0.47894165741394973,0.4264232008592911,0.16896894684495525,0.32075471698113206,0.7256637168141593,0.457630598193418,0.7023760477021537,0.3810375352656856,0.5136813937204191,118.248
MLP-precision-1,0.6144834460482487,0.24421443218435698,0.20687368770029838,0.17547169811320754,0.7787610619469026,0.5517655233402817,0.6927548958395428,0.335366451320259,0.5266289568333612,120.595
MLP-precision-2,0.5362559301503987,0.33385411580900304,0.17769919328102554,0.21509433962264152,0.7787610619469026,0.49509927778830565,0.6863163751263304,0.3510180924735733,0.5108112484627364,120.595
MLP-recall-1,0.526180983143232,0.43838492334732937,0.11592441153718643,0.26037735849056604,0.7581120943952803,0.4953624744699219,0.7032662216226007,0.3503486593446157,0.5163257851457127,121.256
MLP-recall-2,0.5273102351872413,0.35641050678644665,0.17106862636755443,0.21132075471698114,0.7905604719764012,0.48974059335059905,0.6940703918691502,0.3515708534949018,0.511793946238217,121.256
